clause,risk_level,risk_explanation,plain_english,error
"1.5 Operation of Smaaash Centres. Franchisee or third party sub –franchisees shall be under an obligation to set up at least 6 (six) Smaaash Centres during the first Contract Year or any other time period as may be provided by Franchisor. The Smaaash Centres shall be established and operated in the Territory using the assumed trade name ’Smaaash’or any other trade name that the Franchisor may designate. Franchisee shall maintain good customer relations in accordance with prudent and reasonable business practices. Franchisee shall perform its obligations hereunder without using subcontractors, sub-distributors, independent sales representatives, agents, Franchisee’s affiliates or other non-employees (“Third Parties”) to perform the obligations of Franchisee under this Agreement except to the contrary specifically stated in this Agreement or unless they have been approved, in writing, in advance, by Franchisor, such approval not to be unreasonably withheld.",High,"This clause imposes a strict obligation on the Franchisee to establish at least six centers in the first year, which is a significant performance target. Additionally, it severely restricts the use of third parties for operations without prior written consent, potentially limiting the Franchisee's operational flexibility and increasing direct labor costs.","The Franchisee or its sub-franchisees must open at least six Smaaash Centers in the first year, using the 'Smaaash' name or another name chosen by the Franchisor. The Franchisee must also maintain good customer service and cannot use outside contractors or other third parties to fulfill its duties unless the Franchisor gives written permission, which should not be unreasonably denied.",
2. Term The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the “Term”). Each calendar year during the Term is sometimes hereinafter referred to as a “Contract Year.”,Low,"This clause clearly defines the commencement of the agreement's term and its continuation until termination, establishing the duration of the contractual relationship. It also defines 'Contract Year.'",This agreement starts on the Effective Date and will continue until it is ended as described later. Each full year of the agreement is called a 'Contract Year.',
"3.1 License. Subject to the terms of this Agreement (including all obligations to first obtain Franchisor’s written approval), Franchisor hereby grants to Franchisee the right to use the Trademarks (the details of which are set out in Exhibit A to this Agreement) (including sub-licensing this right to third party franchisees with the approval of Franchisor), on a royalty-free basis, for the purpose of operating and promoting the Smaaash Centres in the Territory. Franchisee is, in particular entitled to:",Low,"This clause grants the Franchisee a royalty-free license to use the Franchisor's trademarks for operating and promoting Smaaash Centres, including sub-licensing with Franchisor approval. This is a key benefit for the Franchisee, though subject to Franchisor's written approval.","The Franchisor gives the Franchisee a free license to use its trademarks to run and advertise Smaaash Centers in the territory, and the Franchisee can also let sub-franchisees use them with the Franchisor's permission.",
"(a) offer, market and/or distribute any products and services in connection with the Smaaash Centres under the Trademarks; and",Low,"This clause specifies one of the rights granted under the trademark license: to offer, market, and distribute products and services related to Smaaash Centres using the Trademarks. This is a standard and expected right for a franchisee.","The Franchisee is allowed to sell, market, and distribute products and services related to Smaaash Centers using the Franchisor's trademarks.",
"b) use the Trademarks on business stationery and/or in advertising in connection with the advertising, promotion and distribution of Smaaash Centres in the Territory.",Low,This clause specifies another right granted under the trademark license: to use the Trademarks on business stationery and in advertising materials for promoting Smaaash Centres. This is a standard and necessary right for a franchisee.,The Franchisee can use the trademarks on its business documents and in advertisements to promote Smaaash Centers in its territory.,
"3.2 Exclusivity of License. Except as provided in the next sentence, the license granted herein shall be exclusive. “Exclusivity” shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor’s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.",Medium,"While granting exclusivity to the Franchisee for Smaaash Centres, this clause also imposes a significant restriction on the Franchisee, preventing them from operating any similar gaming centers in the Territory. Furthermore, the Franchisor retains the right to operate its existing Smaaash centers in the Territory, which slightly dilutes the Franchisee's exclusivity.","The Franchisee has exclusive rights to use the trademarks for Smaaash Centers in its territory, meaning the Franchisor won't license them to others there. However, the Franchisor can still run any Smaaash Centers it already had in the territory when the agreement started. The Franchisee is also restricted from opening any similar entertainment centers in the territory.",
"3.3 Form of Use. Unless otherwise provided herein or agreed by the parties in writing, Franchisee shall use the Trademarks that are registered in the Territory in their registered form.",Low,"This clause requires the Franchisee to use registered trademarks in their registered form, which is a standard practice to maintain brand consistency and protect intellectual property. It allows for flexibility if agreed upon in writing.","The Franchisee must use the trademarks exactly as they are registered in the territory, unless the agreement says otherwise or both parties agree to a different use in writing.",
"4. Compliance with Law Franchisee shall ensure that the Smaaash Centres shall be set up, established, operated, managed, advertised, marketed, promoted, publicized and otherwise exploited, in accordance with all applicable laws and regulations in the Territory, including without limitation, all customs requirements and country of origin regulations.",Low,This clause places a standard and necessary obligation on the Franchisee to comply with all applicable laws and regulations in the Territory for all aspects of the Smaaash Centres' operations. This is a fundamental requirement for any business.,"The Franchisee must make sure that all Smaaash Centers are set up, run, and promoted according to all local laws and regulations in the territory, including rules about customs and product origin.",
"(a) Franchisee shall exercise its best efforts to effectively market, promote, and publicise the Smaaash Centres throughout the Territory. Franchisee shall also be obligated to identify suitable locations to set up the Smaaash Centres. Franchisee shall comply with, and ensure that the third party sub-franchisees comply with the standards prescribed by Franchisor (as provided in the operating manuals which shall be shared by Franchisor with Franchisee) with respect to the services, products and operations of the Smaaash Centres and shall operate the Smaaash Centres in strict conformity with such standards and specifications as Franchisor may from time to time prescribe to Franchisee. Franchisee shall refrain from deviating from such standards and specifications without Franchisor’s prior written consent and from otherwise operating in any manner which reflects adversely on the Trademarks and Smaaash Centres.",Medium,"This clause imposes a 'best efforts' obligation for marketing and promotion, which can be subjective, and requires strict adherence to Franchisor's standards and operating manuals. This gives the Franchisor significant control over operations and brand image, potentially limiting the Franchisee's autonomy.","The Franchisee must do its best to market and promote Smaaash Centers and find good locations for them. The Franchisee, and any sub-franchisees, must strictly follow all operating standards and specifications set by the Franchisor, and cannot change them without written permission, to protect the brand's reputation.",
"(b) Unless otherwise agreed by Franchisor in writing, throughout the Term, Franchisee shall maintain, and shall ensure that the third party sub –franchisees maintain an organizational structure or local management reasonably necessary to adequately support the advertising, marketing and promotion of the Smaaash Centres and the services and products offered by Smaaash Centres throughout the Territory. The third party sub –franchisees shall also be responsible for all employee related compliances as per the relevant applicable laws. Towards this purpose, Franchisee shall appoint a qualified chief operating officer, in consultation with Franchisor, to undertake and manage the obligations of Franchisee as set out in this Agreement. Franchisor shall also be entitled to designate and appoint personnel from its managerial team to assist and train the personnel and staff of the Franchisee or any other third party sub - franchisee in setting up the Smaaash Centres, and further provide technical and design knowledge to the third party sub - franchisees.",Medium,"This clause places a significant operational burden on the Franchisee, requiring a specific organizational structure, a qualified COO appointed in consultation with the Franchisor, and responsibility for sub-franchisee employee compliance. While the Franchisor offers assistance, the requirements for management structure and consultation could limit the Franchisee's independent decision-making.","The Franchisee must maintain a suitable management structure and ensure sub-franchisees do the same to support Smaaash Centers' marketing. Sub-franchisees are responsible for employee compliance. The Franchisee must hire a qualified chief operating officer, with the Franchisor's input, to manage its duties. The Franchisor can also send its staff to help train the Franchisee's and sub-franchisees' employees and provide technical knowledge.",
"5.2 Promotional Material and Products. Franchisee shall submit to Franchisor, for Franchisor’s prior written approval, samples of all advertising and promotional materials that Franchisee desires to use to promote Smaaash Centres, including without limitation, print and online advertising designs, trade show display materials, press releases and interviews for publication in any media (“Promotional Material”). Franchisee shall modify any disapproved Promotional Material to satisfy Franchisor’s reasonable objections so that it is acceptable to Franchisor. Franchisor shall provide Franchisee with the creative elements of any Promotional Materials that Franchisor creates or acquires for use in connection with the advertising and sale of Products outside the Territory.",Medium,"This clause gives the Franchisor complete control over all promotional materials, requiring prior written approval and the right to demand modifications. This ensures brand consistency but significantly limits the Franchisee's creative and marketing autonomy, potentially delaying campaigns.","The Franchisee must get written approval from the Franchisor for all advertising and promotional materials before using them. If the Franchisor disapproves, the Franchisee must make changes until they are acceptable. The Franchisor will also share its own promotional materials for use outside the territory.",
"(a) Franchisor is the sole owner of any and all intellectual property rights relating to the Smaaash Centres and their products and services existing as of the Effective Date, including, but not limited to, the Trademarks and all the goodwill relating thereto (the “Franchisor Property”). Franchisee, or any third party franchisee, by reason of this Agreement, has not and shall not acquire any right, title, interest or claim of ownership in any of the Franchisor Property in the Territory or elsewhere, except to the extent provided under the license granted under Sections 1 and 3 of this Agreement.",Low,"This clause clearly establishes the Franchisor's sole ownership of all intellectual property related to Smaaash Centres and explicitly states that the Franchisee acquires no ownership rights, only a limited license. This is standard for franchise agreements to protect the franchisor's core assets.","The Franchisor owns all intellectual property related to Smaaash Centers, including trademarks and brand reputation. The Franchisee and any sub-franchisees do not gain ownership of this property, only a limited right to use it as specified in the agreement.",
"(b) Franchisee acknowledges that, (i) Franchisor is the sole and exclusive owner of all right, title and interest in any Franchisor Property; (ii) nothing contained in this Agreement shall give to Franchisee any right, title or interest in any Franchisor Property; and (iii) Franchisee’s use of the Franchisor Property, and any associated goodwill, shall inure only to the benefit of Franchisor and shall be deemed to be solely the property of Franchisor should this Agreement be terminated for any reason.",Low,This clause reinforces the Franchisor's exclusive ownership of all intellectual property and clarifies that any goodwill generated by the Franchisee's use benefits only the Franchisor. This is a standard and crucial protection for the franchisor's brand assets.,"The Franchisee agrees that the Franchisor is the only owner of all its intellectual property, and this agreement does not give the Franchisee any ownership rights. Any positive reputation gained from the Franchisee's use of this property will belong solely to the Franchisor, especially if the agreement ends.",
"6.2 Registration and Cooperation. Franchisee shall not, directly or indirectly, seek or obtain any new registration for Franchisor Property (including without limitation, any colorable imitations, translations, or transliterations thereof), anywhere in the world without Franchisor’s prior written consent. If Franchisee has obtained or obtains in the future, in any country, any right, title or interest in any Franchisor Property notwithstanding the previous sentence (including any colorable imitations, translations, or transliterations thereof), Franchisee will be deemed to have so acted as an agent and for the benefit of Franchisor for the limited purpose of obtaining such registrations and assigning them to Franchisor. Franchisee shall execute, for no additional consideration, any and all documents deemed necessary by Franchisor or its attorneys to be necessary to transfer such right, title or interest to Franchisor.",Low,"This clause strictly prohibits the Franchisee from registering any of the Franchisor's intellectual property and mandates that any such registrations, if obtained, are for the Franchisor's benefit and must be transferred without additional cost. This is a critical protection for the Franchisor's global IP rights.","The Franchisee cannot try to register any of the Franchisor's intellectual property anywhere in the world without the Franchisor's written permission. If the Franchisee does obtain any such registrations, they will be considered to have done so on behalf of the Franchisor and must transfer them to the Franchisor without being paid extra.",
"6.3 No Challenges. Franchisee shall not do anything or suffer anything to be done which may adversely affect any rights of Franchisor in and to any Franchisor Property, or any registrations thereof or which, directly or indirectly, may reduce or dilute the value or distinctiveness of such Franchisor Property, in particular the Trademarks, or disparage or detract from Franchisor’s reputation. Franchisee shall not challenge, directly or indirectly, Franchisor’s interest in, or the validity of, any Franchisor Property, or any application for registration or trademark registration thereof or any rights of Franchisor therein. The provisions of this Section 6.3 shall survive the termination of this Agreement.",Low,"This clause imposes a broad and perpetual obligation on the Franchisee not to challenge, dilute, or disparage the Franchisor's intellectual property or reputation. This is a standard and essential protection for the franchisor's brand and IP assets, surviving termination.","The Franchisee must not do anything that could harm the Franchisor's intellectual property rights, reduce the value of its trademarks, or damage its reputation. The Franchisee also cannot question the Franchisor's ownership or the validity of its intellectual property. These rules continue even after the agreement ends.",
(a) Mutual Information. Each of the parties shall inform the other without undue delay when such party becomes aware of any infringements of any of the Franchisor Property in the Territory.,Low,This clause establishes a mutual obligation for both parties to promptly inform each other of any intellectual property infringements they become aware of. This ensures timely action can be taken to protect the Franchisor's assets.,Both parties must quickly tell the other if they find out about anyone illegally using the Franchisor's intellectual property in the territory.,
"(b) Initiation of Action. Any actions against infringers of any of the Franchisor Property, whether or not such actions involve litigation (including any actions taken to oppose a third party application to register an infringing trademark or a cancellation action against a third party’s infringing trademark registration), shall be exclusively reserved to Franchisor, unless otherwise agreed by Franchisor in writing. Notwithstanding the foregoing, Franchisor shall be under no obligation to initiate any such action. If requested by Franchisor, Franchisee shall support Franchisor, at Franchisor’s expense, in any such proceedings and, if requested by Franchisor, Franchisee shall promptly provide Franchisor with any relevant documentation in Franchisee’s possession.",Medium,"This clause grants the Franchisor exclusive control over initiating legal actions against infringers, but also states the Franchisor is under no obligation to do so. This could leave the Franchisee vulnerable if the Franchisor chooses not to defend its IP, though the Franchisee is required to assist at the Franchisor's expense.","Only the Franchisor can decide to take action against those who infringe on its intellectual property, unless agreed otherwise in writing, and the Franchisor is not required to take action. If the Franchisor does act, the Franchisee must help, providing documents and support, with the Franchisor covering the costs.",
"7.2 Attacks on the Use of the Franchisor Property. Each of the parties shall inform the other if it becomes aware of a claim by a third party that the use of any of any of the Franchisor Property infringes on the rights of such third party. If requested by Franchisor, Franchisee shall support Franchisor, at Franchisor’s expense, in connection with Franchisor’s defense against any such third party claims. Unless otherwise agreed by Franchisor in writing, Franchisor shall take the lead in any defense against a third party action, whether brought against Franchisor and/or Franchisee. The decision whether or not a defense is appropriate shall be in Franchisor’s sole discretion. Franchisee shall not settle any third party claims against it regarding its use of any of the Franchisor Property without the prior written consent of Franchisor.",Medium,"This clause requires mutual notification of third-party infringement claims and mandates Franchisee support at Franchisor's expense. However, it gives the Franchisor sole discretion over defense strategy and prohibits the Franchisee from settling claims without consent, potentially exposing the Franchisee to liability if the Franchisor decides not to defend.","Both parties must inform each other if a third party claims the Franchisor's intellectual property infringes on their rights. The Franchisee must help the Franchisor defend against such claims, with the Franchisor paying the costs. The Franchisor will lead the defense and decide whether to defend, and the Franchisee cannot settle any claims without the Franchisor's written approval.",
"7.3 Indemnity. The Franchisee shall indemnify and hold the Franchisor, its affiliates and their respective agents and employees harmless from all claims, actions, suits, damages, costs and expenses in relation to or arising out of the breach of any representations, warranties, covenants and obligations of the Franchisee as set out in this Agreement. The indemnification rights of the Franchisor shall be without prejudice to, and independent of any other rights and remedies that the Franchisor may have at law or in equity, including the right to seek specific performance, injunctive relief or restitution, none of which rights or remedies shall be affected or diminished thereby. The provisions of this Section 7.3 shall survive the termination of this Agreement.",High,"This is a broad indemnity clause placing significant financial risk on the Franchisee, requiring them to cover all costs and damages arising from their breaches. It also explicitly states that this indemnity is in addition to all other legal and equitable remedies available to the Franchisor, and it survives termination.","The Franchisee must protect the Franchisor and its related parties from all claims, costs, and damages that result from the Franchisee breaking any part of this agreement. This protection is in addition to any other legal actions the Franchisor can take, and it remains in effect even after the agreement ends.",
8.1 Termination by Mutual Agreement. This Agreement may be terminated at any time upon the mutual written agreement of the parties.,Low,This clause provides a straightforward and amicable way for both parties to terminate the agreement by mutual written consent. This is a standard and fair provision.,Both parties can end this agreement at any time if they both agree to it in writing.,
8.2 Termination by Franchisor with Notice. Franchisor may terminate this Agreement upon thirty (30) days written notice to Franchisee upon the occurrence of any of the following:,Low,"This clause introduces specific conditions under which the Franchisor can terminate the agreement with 30 days' notice. While it favors the Franchisor, it provides clarity on the grounds for termination.",The Franchisor can end this agreement by giving the Franchisee 30 days' written notice if certain events listed below happen.,
(a) Franchisee fails to make any payment required under or in connection with this Agreement;,Low,"This is a standard termination clause, allowing the Franchisor to terminate if the Franchisee fails to make required payments. This protects the Franchisor's financial interests.",The Franchisor can end the agreement if the Franchisee doesn't make any payments required by the agreement.,
"(b) Franchisee ceases to operate or otherwise abandon the Smaaash Centres without the consent of Franchisor, or otherwise forfeit the right to do or transact business in the Territory;",Low,"This is a standard termination clause, allowing the Franchisor to terminate if the Franchisee ceases operations or abandons the centers without consent, or loses the right to do business. This protects the brand's presence and the Franchisor's investment.","The Franchisor can end the agreement if the Franchisee stops operating or abandons the Smaaash Centers without permission, or loses its right to do business in the territory.",
(c) Franchisee fails to use its best efforts to market and promote Smaaash Centres and the services and products offered by Smaaash Centres within the Territory and such failure is not cured within thirty (30) days of Franchisor’s notification to Franchisee of such failure.,Medium,"This clause allows termination if the Franchisee fails to use 'best efforts' in marketing and promotion, which is a subjective standard. While a 30-day cure period is provided, the subjective nature of 'best efforts' could lead to disputes and places a continuous burden on the Franchisee.","The Franchisor can end the agreement if the Franchisee doesn't try its best to market and promote Smaaash Centers, and doesn't fix this issue within 30 days of being told by the Franchisor.",
"8.3 Termination for Cause. This Agreement may be terminated by either party for “Cause” without the need of providing a notice period prior to such termination becoming effective. “Cause” shall exist if circumstances occur which, taking into consideration the substance and purpose of this Agreement, would make it unreasonable for one or both of the parties to continue the contractual relationship and the other party fails to cure the cause (assuming that such cause is susceptible to cure) within thirty (30) days after the date of receipt of a corresponding written notice (“Remedy Notice”). If such cause by its nature is not curable, then no such Remedy Notice is required. Without limiting the generality of the foregoing, a party may terminate this Agreement for “Cause”if:",Low,"This clause defines 'Termination for Cause,' allowing either party to end the agreement immediately for serious breaches that make continuation unreasonable, with a 30-day cure period for curable issues. This provides a clear framework for addressing fundamental problems.","Either party can immediately end this agreement for 'Cause' if something serious happens that makes it unreasonable to continue the contract, and the other party fails to fix the problem within 30 days of being notified (if it can be fixed). If the problem cannot be fixed, no notice is needed.",
(a) the other party to this Agreement is in breach of one or more of its material obligations; or,Low,"This is a standard 'for cause' termination ground, allowing termination for a material breach of obligations. This is a fundamental protection for both parties in a contract.",One reason for 'Cause' termination is if the other party breaks one or more of its important duties in the agreement.,
"(b) the other party to this Agreement becomes insolvent, generally cannot pay its obligations when due or otherwise suffers a substantial deterioration of its financial situation, or if insolvency/bankruptcy proceedings are initiated against such party or such party initiates any dissolution or liquidation of its business and/or assets.",Low,"This is a standard 'for cause' termination ground, allowing termination if a party experiences financial distress, insolvency, or bankruptcy. This protects the other party from continuing a relationship with a financially unstable partner.","Another reason for 'Cause' termination is if the other party becomes unable to pay its debts, faces bankruptcy, or starts to close down its business.",
"(a) Upon the termination of this Agreement, any indebtedness of Franchisee to Franchisor shall become immediately due and payable. Franchisee shall immediately cease to operate the Smaaash Centres and shall not thereafter, directly or indirectly, represent to the public or hold itself out as a franchisee of Franchisor. Franchisor shall have the right to suspend the performance of any of their obligations under this Agreement. Franchisor shall have the right to provide the rights and license granted herein to Franchisee to any other third party entity that Franchisor may deem fit.",Medium,"This clause outlines significant consequences for the Franchisee upon termination, including immediate payment of debts, cessation of operations, and loss of representation. It also grants the Franchisor the right to suspend its obligations and re-license the territory, which is standard but impactful for the Franchisee.","When the agreement ends, any money the Franchisee owes the Franchisor must be paid right away. The Franchisee must immediately stop running Smaaash Centers and cannot claim to be a Franchisor franchisee anymore. The Franchisor can stop fulfilling its duties and can give the Franchisee's former rights and license to another company.",
"(b) All benefits which may accrue by reason of the activities of Franchisee hereunder shall be deemed transferred automatically to Franchisor, and all licenses and other rights granted to Franchisee hereunder shall immediately cease. Unless otherwise agreed by Franchisor in writing, Franchisee shall immediately discontinue the advertising and marketing of Smaaash Centres and the products and services offered by Smaaash Centres.",Low,"This clause clearly states that upon termination, all benefits generated by the Franchisee's activities transfer to the Franchisor, and all Franchisee rights and licenses immediately cease. This is a standard and necessary provision to protect the Franchisor's brand and business continuity.","When the agreement ends, any benefits the Franchisee gained will automatically go to the Franchisor, and all rights and licenses given to the Franchisee will stop immediately. The Franchisee must also stop all advertising and marketing of Smaaash Centers unless the Franchisor agrees otherwise in writing.",
"(c) Each of the parties shall continue to maintain in confidence any and all confidential information received from the other party. At Franchisor’s election, Franchisor may purchase from Franchisee any materials used by Franchisee for the advertising, marketing, promotion, publicizing or other exploitation of Smaaash Centres and the products and services offered by the Smaaash Centres, including all Promotional Materials, Franchisor Property, or any other materials which contain any of the Trademarks.",Low,This clause includes a standard confidentiality obligation that survives termination and grants the Franchisor an option to purchase marketing materials from the Franchisee. This protects confidential information and allows the Franchisor to potentially recover useful assets.,"Both parties must keep all confidential information secret, even after the agreement ends. The Franchisor has the option to buy any advertising or promotional materials from the Franchisee that were used for Smaaash Centers, including those with the Franchisor's trademarks.",
"(d) The termination of this Agreement for any reason shall not affect obligations accrued prior to the effective date of such termination of this Agreement or any obligations which, either expressly or from the context of this Agreement, are intended to survive the termination of this Agreement.",Low,"This is a standard 'survival' clause, ensuring that obligations incurred before termination and those explicitly stated to survive termination remain enforceable. This provides legal clarity and continuity for certain contractual duties.","Ending this agreement, for any reason, does not cancel any duties or debts that were already in place before the termination date, or any duties that are meant to continue after the agreement ends.",
"9. Notices and Other Communications All reports, approvals, requests, demands, notices and other communications (collectively “Communications”) required or permitted by this Agreement shall be in writing and signed by a duly authorized officer of or such other individual designated in writing by a party. Communications will be duly given if delivered personally, if mailed (by registered mail, return receipt requested) or if delivered by nationally-recognized courier or mail service which requires the addressee to acknowledge, in writing, the receipt thereof, to the party concerned at the following addresses (or at any other address as a party may specify by notice in writing to the other): If to Franchisor: Smaaash Entertainment Private Limited Trade View, Level 2 Kamala Mills Lower Parel, Mumbai 400013, India Attention: Mr. Vishwanath Kotian If to Franchisee: 1345 Avenue of the Americas, 11th floor New York, NY 101015, USA Attention: Mr. Suhel Kanuga",Low,"This clause clearly defines the requirements for all official communications, including format, authorized signatories, and delivery methods and addresses. This is a standard and important administrative provision to ensure proper notice.","All official communications related to this agreement must be in writing, signed by an authorized person, and sent to the specified addresses by personal delivery, registered mail, or a courier service that requires a written receipt.",
"10.1 Entire Agreement. This Agreement contains the entire understanding and agreement between the parties with respect to its subject matter, supersedes all prior oral or written understandings and agreements relating thereto and may not be modified, discharged or terminated, nor may any of the provisions hereof be waived, orally.",Low,"This is a standard 'entire agreement' clause, stating that the written agreement is the complete and final understanding between the parties, superseding all prior discussions, and cannot be modified orally. This prevents reliance on unwritten promises.","This document is the complete and final agreement between the parties, replacing all previous discussions or agreements, whether spoken or written. It cannot be changed or ended by spoken agreement.",
