clause,risk_level,risk_explanation,plain_english,error
"Axiometric shall be solely responsible for providing all equipment, furniture, supplies and other personal property that Axiometric deems appropriate to operate its business. LKPL will have no obligation to provide any special facilities or infrastructure unless otherwise negotiated.",Low,"This clause clearly defines Axiometric's responsibility for its own operational assets and limits LKPL's obligations to provide additional infrastructure, preventing misunderstandings.","Axiometric is responsible for bringing all its own equipment, furniture, and supplies needed to run its business. LKPL is not required to provide any special facilities unless they agree to it separately.",
"LKPL will have no liability whatsoever for any of Axiometric's equipment, furniture, supplies or other personal property; Axiometric will use the space at its sole risk.",High,"This is a broad exculpatory clause, completely absolving LKPL of liability for Axiometric's property and placing all risk on Axiometric, meaning Axiometric bears the full cost of any damage, loss, or theft of its assets.",LKPL is not responsible for any of Axiometric's equipment or personal belongings; Axiometric uses the office space and stores its property there entirely at its own risk.,
Axiometric will have the right to terminate the license to use the office space and to move out of the office space at any time upon two weeks notice.,Low,"This clause provides Axiometric with flexibility, allowing them to vacate the space with minimal notice, which is a favorable term for Axiometric.","Axiometric can choose to stop using the office space and move out at any time, provided they give two weeks' notice.",
Axiometric must at all times use the office space strictly in accordance with terms and conditions stated in LKPL's lease for the space.,Medium,"This clause imposes an obligation on Axiometric to comply with the terms of LKPL's master lease, which Axiometric may not have seen or negotiated, creating potential unknown liabilities.",Axiometric must always use the office space exactly as specified in LKPL's own lease agreement for that property.,
"Axiometric must indemnify and hold LKPL and its officers, directors, stockholders, agents, contractors, employees and guests (collectively, the ""Indemnified Parties"") harmless from and against any and all Loss that the Indemnified Parties may incur arising from or relating to Axiometric use of the office space, including but not limited to any Loss suffered by the Indemnified Parties as a result of any negligent acts or omissions of Axiometric, its employees, agents, contractors and representatives, or anyone else working under Axiometric or in the office with the permission of Axiometric.",High,"This is a broad indemnification clause, requiring Axiometric to cover all losses LKPL and its affiliates might incur due to Axiometric's use of the space, including losses from Axiometric's negligence, exposing Axiometric to significant financial risk.","Axiometric must protect LKPL and its associated parties from any financial losses they might suffer because of Axiometric's use of the office space, including any harm caused by Axiometric's or its team's negligence.",
"Axiometric and LKPL agree to jointly pursue accessing and commercially penetrating the AMR market by developing a suite of qualified and commercially marketable product suites for that market, marketing and selling that suite of products. The following shall be the general roles and responsibilities of the two companies with respect to AMR efforts:",Informational,"This clause outlines the overarching goal of the partnership: joint development, marketing, and sales in the AMR market, serving as an introduction to the specific roles and responsibilities that follow.","Axiometric and LKPL will work together to enter and succeed in the automatic meter reading (AMR) market by creating, marketing, and selling a range of products. The next sections detail each company's general duties for these AMR efforts.",
"Water Meter Development: Axiometric and LKPL are jointly developing an AMR product for remote reading of residential water utility meters (hereafter the Water Meter). The Water Meter is a hardware device with integral software. The software includes, under license, the Axiometric wireless mesh networking intellectual property. The Water Meter is capable of interfacing with a variety of water meter registers, recording water usage, logging various exceptional conditions, and reporting them via a radio link. The Water Meter is also capable of forming a mesh network with other Water Meters to extend the radio reporting range using the aforementioned Axiometric mesh networking intellectual property. The Water Meter software and hardware are based on existing Axiometric electric meter AMR hardware and software products; joint ownership of the Water Meter does not convey joint ownership of those existing products or of the mesh networking intellectual property. New software and hardware designs and intellectual property developed in the course of the Water Meter development are jointly owned; specifically, the algorithms used to collect data directly from a Water Meter using a point-to-point link (drive-by data collection), the specific hardware designs related to water register interface, battery power management, and other intellectual property specifically described and mutually agreed in writing as amendments to this Agreement. Joint ownership conveys to each party individually the right to use, sell, modify, and create derived works from said intellectual property, as well as the right to sub-license these rights to others.",Medium,This clause defines joint development and ownership for new Water Meter IP but explicitly carves out Axiometric's existing IP. The need for 'mutually agreed in writing' for other jointly owned IP creates potential for future disputes if not clearly documented.,"Axiometric and LKPL are jointly creating a 'Water Meter' AMR product, which uses Axiometric's existing licensed wireless technology. While the new Water Meter's software and hardware designs, and specific new intellectual property, will be jointly owned, Axiometric retains sole ownership of its original mesh networking and electric meter products. Joint ownership means both companies can independently use, sell, modify, and sublicense the new Water Meter IP.",
"Energy AMR Product Suite: Axiometric has developed an AMR product suite for use in energy (electric) metering consisting of a meter insert for interfacing to energy meters, recording usage and exceptional conditions, and transmitting the information via radio to a central collector. Axiometric has also developed mesh networking intellectual property to allow the meter inserts to relay information from insert to insert thus extending the range and reliability of such information transmissions. Axiometric has also developed a central collection unit (hereafter Mesh Controller or Gateway) capable of collecting usage and other information from a large number of meter inserts and relaying that information onto another communications medium (radio, GSM, etc.) for delivery to a processing system. Axiometric has also developed processing software for recording the collected data to a database, presenting and managing that information, and exporting the data to other processing systems. This collection of products forms an energy metering (electric) AMR Product Suite that is owned by Axiometric.",Informational,"This clause details Axiometric's existing 'Energy AMR Product Suite' and explicitly states that it is owned by Axiometric, clarifying ownership of pre-existing intellectual property.","Axiometric owns a complete 'Energy AMR Product Suite' for electric meters, which includes meter inserts, mesh networking technology, a central data collection unit (Mesh Controller/Gateway), and software for processing and managing the collected data.",
Axiometric and LKPL may develop other AMR Product Suites (e.g. for gas metering) and ownership of those AMR Product Suites will be held individually by the developer of the suite or jointly if mutually agreed to in writing.,Low,"This clause sets a clear framework for future IP ownership: individual ownership by the developer or joint ownership if mutually agreed in writing, preventing ambiguity for future projects.","If Axiometric and LKPL create other automatic meter reading (AMR) products, like for gas meters, the company that develops it will own it, unless they both agree in writing to own it jointly.",
"Regardless of ownership and in order to coordinate marketing and prevent overlap and confusion by customers and potential customers, all sales and marketing shall be conducted as follows:",Informational,"This clause introduces the sales and marketing framework, emphasizing coordination regardless of product ownership to avoid market confusion, setting the stage for subsequent clauses defining sales territories.","To ensure organized marketing and avoid confusing customers, all sales and marketing activities will follow the rules outlined below, regardless of who owns the products.",
Axiometric shall have the exclusive right to market and sell AMR Product Suites to entities whose corporate headquarters are physically located in the United States and U.S. territories with the exception of Datamatic as defined in 3.3.1 and 3.3.2 below,Low,"This clause grants Axiometric an exclusive sales territory (US and US territories, excluding Datamatic), providing a clear benefit for Axiometric within this defined market.","Axiometric has the sole right to market and sell AMR products to companies headquartered in the United States and its territories, except for sales to Datamatic.",
"LKPL shall have the exclusive right to market and sell AMR Product Suites to Datamatic LTD, a Plano TX corporation (hereafter Datamatic).",Low,"This clause grants LKPL an exclusive sales right to a specific named entity, Datamatic, clearly defining a key part of LKPL's market.","LKPL has the sole right to market and sell AMR products specifically to Datamatic LTD, a company based in Plano, Texas.",
LKPL shall have the exclusive right to market and sell AMR Product Suites to entities whose corporate headquarters are physically located outside the United States and its territories.,Low,"This clause grants LKPL an exclusive sales territory (international markets), providing a clear benefit for LKPL within this defined market.",LKPL has the sole right to market and sell AMR products to companies whose main offices are located outside of the United States and its territories.,
The proceeds of all sales shall be distributed pursuant to the terms of this Agreement as set forth in Section 3.3 [Proceeds] below.,Informational,"This clause acts as a pointer, indicating that the detailed rules for distributing sales proceeds will be found in a subsequent section, serving as a structural element of the agreement.",How money from all sales will be shared is explained in detail in the 'Proceeds' section (Section 3.3) of this agreement.,
"As a result of the different ownership interests, marketing relationships, and this Agreement, the proceeds of sales of AMR Product Suites shall be as follows unless otherwise mutually agreed in writing:",Informational,"This clause introduces the specific rules for revenue sharing, acknowledging the complexities of different ownership and marketing arrangements, and allowing for future written modifications.","Due to varying ownership and marketing arrangements, the money from AMR product sales will be divided as described next, unless both parties agree to different terms in writing.",
"For sales of Water Meter AMR Product Suites to Datamatic, LKPL shall set the price of Water Meter AMR Product Suite sales to Datamatic. LKPL shall pay Axiometric the higher of a) five-percent (5%) of the Gross Proceeds or b) twenty-five-percent (25%) of the Net Proceeds of all Water Meter AMR Product Suite sales.",Medium,"This clause defines revenue sharing for a specific product and customer, with LKPL controlling pricing, which could impact Axiometric's share. The 'higher of' calculation requires clear definitions of 'Gross Proceeds' and 'Net Proceeds' to avoid disputes.","When LKPL sells Water Meter AMR products to Datamatic, LKPL will decide the price. Axiometric will receive either 5% of the total sales revenue (Gross Proceeds) or 25% of the profit (Net Proceeds), whichever amount is greater.",
"For sales of Electric Meter AMR Product Suites to Datamatic, Axiometric shall set the price of Electric Meter AMR Product Suite sales to Datamatic. LKPL shall pay Axiometric Net Proceeds less the higher of a) five-percent (5%) of the Gross Proceeds or b) twenty-five-percent (25%) of the Net Proceeds.",Medium,"This clause defines revenue sharing with Axiometric setting the price, which is beneficial. However, the payment structure to Axiometric is phrased unusually ('Net Proceeds less the higher of...'), which is potentially confusing and requires careful calculation and clear definitions of 'Gross Proceeds' and 'Net Proceeds' to ensure correct distribution.","When Axiometric sells Electric Meter AMR products to Datamatic, Axiometric will set the price. LKPL will pay Axiometric the profit (Net Proceeds) after deducting either 5% of the total sales revenue (Gross Proceeds) or 25% of the profit (Net Proceeds), whichever of those two amounts is larger.",
"For sales of AMR Product Suites by LKPL, other than sales to Datamatic as defined above: LKPL shall pay Axiometric the higher of: a) five-percent (5%) of the Gross Proceeds OR b) twenty-percent (25%) of the Net Proceeds",Medium,"This clause defines Axiometric's share for LKPL's general sales. LKPL controls pricing, and the 'higher of' calculation requires clear definitions of 'Gross Proceeds' and 'Net Proceeds'. There is a potential typo in 'twenty-percent (25%)' which could lead to disputes.","For all AMR product sales made by LKPL, except those to Datamatic, LKPL will pay Axiometric either 5% of the total sales revenue (Gross Proceeds) or 25% of the profit (Net Proceeds), whichever amount is greater.",
"For sales of AMR Product Suites by Axiometric, other than sales to Datamatic as defined above, and other than AMR product suites for use in electric/energy metering: Axiometric shall pay LKPL the higher of: a) five-percent (5%) of the Gross Proceeds OR b) twenty-percent (25%) of the Net Proceeds",Medium,"This clause defines LKPL's share for Axiometric's general sales. Axiometric controls pricing, and the 'higher of' calculation requires clear definitions of 'Gross Proceeds' and 'Net Proceeds'. There is a potential typo in 'twenty-percent (25%)' which could lead to disputes.","For all AMR product sales made by Axiometric, except those to Datamatic or for electric/energy metering, Axiometric will pay LKPL either 5% of the total sales revenue (Gross Proceeds) or 25% of the profit (Net Proceeds), whichever amount is greater.",
Payments to Axiometric for sales of the AMR Product Suite shall be in lieu of any licensed IP Royalty payments for those products.,Low,"This clause clarifies that the revenue sharing payments cover any potential IP royalty obligations for the AMR products, preventing double-payment and simplifying the financial structure.",The payments Axiometric receives from AMR product sales will replace any separate royalty payments for intellectual property licenses related to those products.,
"During the term of this Agreement, Axiometric shall issue a Request for Manufacture (RFM) for any AMR hardware to be sold by Axiometric under the terms of this Agreement. The RFM shall specify delivered product cost, credit requirements, delivery schedules, warranty service, quality using industry standard terms, and other industry standard manufacturing requirements. As the preferred manufacturer, LKPL shall have first right of refusal on all such RFMs. If LKPL does not respond to an RFM within thirty (30) days, or cannot provide competitive terms (such as cost, credit, quality, schedule), Axiometric will be free to award the manufacturing contract to an alternate manufacturer.",Medium,"This clause establishes LKPL as the preferred manufacturer with a 'first right of refusal'. Axiometric retains the right to seek alternatives if LKPL is unresponsive (30 days) or uncompetitive, but the definition of 'competitive terms' could be a point of dispute.","When Axiometric needs AMR hardware manufactured, it must first offer the contract to LKPL, providing details like cost, schedule, and quality. LKPL has 30 days to respond; if it doesn't, or if its terms aren't competitive, Axiometric can choose another manufacturer.",
"As defined in section 3.3 above, selling parties may owe the other party some portion of the Proceeds. The payment of amounts owed shall be performed as follows:",Informational,"This clause serves as an introductory statement to the payment mechanics, referencing the previously established revenue sharing rules.","As outlined in Section 3.3, if one party owes the other a share of sales money, those payments will be made according to the following rules.",
Payments due shall be made within 45 days of the close of each calendar quarter.,Low,"This clause sets a clear and specific deadline for payments, ensuring regularity and predictability for both parties.",All payments must be made within 45 days after the end of every three-month calendar period.,
Payments that are not received within thirty (30) days after their due date will bear interest at the rate of twelve percent (12.0%) per annum compounded monthly from the due date until such payment is received.,Medium,"This clause imposes a significant penalty for late payments (12% per annum compounded monthly), which can quickly accrue, protecting the payee but representing a financial risk for the payor.","If a payment is 30 days late, the overdue amount will start accumulating interest at a rate of 12% per year, compounded monthly, until it is paid.",
Payments not received within sixty (60) days after their due date will be considered a material breach of this Agreement and the party due payment may pursue any and all legal action to recover the payment and reasonable legal fees incurred in the pursuit of said payment.,High,"This clause escalates the consequences of late payment, defining a 60-day delay as a 'material breach,' which can lead to termination of the agreement and allows the aggrieved party to recover legal fees, representing a severe consequence.","If a payment is not received within 60 days of its due date, it will be considered a major violation of this agreement. The party owed money can then take any legal action necessary to collect the payment, including recovering their legal fees.",
Both parties are entitled to reports of sales and to conduct periodic audits to ensure accuracy of Payments as follows:,Informational,"This clause introduces the rights of both parties to receive sales reports and conduct audits, which is crucial for transparency and verifying payment accuracy.","Both companies have the right to receive sales reports and perform regular checks to make sure all payments are correct, as detailed below.",
Each party will provide to the other a quarterly report (in hard copy and electronic copy (if applicable)) showing the AMR Product Suite sales including the Gross Proceeds and the Production Costs.,Low,"This clause mandates regular, detailed reporting of sales, gross proceeds, and production costs, which is essential for financial calculations and audit purposes.","Every three months, each company must give the other a report, both physical and electronic, detailing all AMR product sales, including total revenue (Gross Proceeds) and manufacturing expenses (Production Costs).",
"Each party shall have the right to conduct an audit after the end of each calendar year to verify the accuracy of the other party's quarterly reports for that year, provided the audit must be initiated no later than June 30th of each year, and that if no such audit is conducted, then the quarterly reports for that year will be deemed accurate.",Medium,"This clause grants audit rights but imposes a strict deadline (June 30th) after which reports are 'deemed accurate,' creating a risk of losing the right to challenge inaccuracies if the deadline is missed.","Each company can audit the other's quarterly reports for the previous year, but they must start the audit by June 30th. If no audit is done by then, those quarterly reports will be considered correct.",
"In the event a Payee's audit shows that the Gross Proceeds or Production Costs of the Payor resulted in an under-payment to the Payee, then the Payor shall have the right, at the Payor's cost, to have its own auditor verify the Payee's audit. If the Payor audit confirms the report of the Payee's auditor, then the Payor will pay the deficiency within fifteen (15) days from the time Payee invoices for the deficiency.",Low,"This clause outlines a process for resolving underpayments found during an audit, allowing the payor to verify the findings at their own cost, with a reasonable 15-day payment window for confirmed deficiencies.","If an audit shows one party (Payor) underpaid the other (Payee), the Payor can hire their own auditor to check the findings, at their own expense. If the Payor's audit confirms the underpayment, they must pay the missing amount within 15 days of being invoiced.",
"In the event a Payee's audit shows that the Gross Proceeds or Production Costs of the Payor resulted in an under-payment of more than three percent (3.0%) to the Payee, then the Payor shall have the right, at the Payor's cost, to have its own auditor verify the audit. If the Payor audit confirms the report of the Payee's auditor, then the Payor will pay the deficiency and the cost of the Payee's audit within fifteen (15) days from the time Payee invoices for those fees and provides standard proof of the time and expenses incurred.",Medium,"This clause adds a penalty: if an underpayment exceeds 3%, the Payor must also cover the cost of the Payee's audit. This incentivizes accurate reporting but could lead to disputes over 'standard proof' of expenses.","If an audit reveals an underpayment of more than 3%, the Payor can still verify it with their own auditor at their expense. If confirmed, the Payor must pay the missing amount and cover the cost of the Payee's audit within 15 days of receiving an invoice and proof of expenses.",
"The parties will be joint venturers only as to those activities that they jointly undertake for the AMR market as described in section 3 above; otherwise they shall be independent of each other, with full control over their respective activities without the need to account to the other, and independent contractors as to all work performed under separate agreements. Even though the parties will be joint ventureres as to the AMR market, neither party will have the right to bind the other in any way without the other party's express consent, and this Agreement shall not otherwise be construed to make any party the agent, assignee, employee, fiduciary, investor, joint venturer, partner, or representative of any other party.",Low,"This clause clearly defines the relationship as a limited joint venture for specific AMR activities, explicitly stating that they are otherwise independent contractors and that neither can bind the other without consent, which is crucial for limiting liability and avoiding unintended partnership implications.","The companies are only joint partners for the specific AMR market activities mentioned in Section 3; for everything else, they operate independently. Even in their joint venture, neither company can make decisions or commitments for the other without explicit permission, and this agreement does not create any other legal relationship like agency or full partnership.",
This Agreement will remain in force for perpetuity or until and unless otherwise mutually agreed or amended in writing by both parties.,Medium,"A 'perpetuity' term means the agreement has no end date unless explicitly terminated or amended. While it allows for mutual agreement to terminate, perpetual agreements can become burdensome or outdated over time, making it difficult to exit without mutual consent.",This agreement will last forever unless both parties agree in writing to end it or change its terms.,
"All notices and communications required or permitted to be given under this Agreement will be deemed given after receipt when sent by United States Postal Service as registered or certified mail, postage prepaid, and addressed to the other party at the notice addresses set forth on the signature page (unless by such notice a different person or address shall have been designated)",Low,"This clause clearly defines the method for formal notices (registered/certified mail) and when they are considered received, which is standard practice to ensure proper communication and avoid disputes over notice delivery.","Any official notices or communications required by this agreement must be sent by registered or certified mail through the U.S. Postal Service to the addresses listed on the signature page, and they will be considered received once delivered.",
This Agreement may not be assigned in whole or in part by either party without prior written consent of the other.,Low,"This is a standard anti-assignment clause, preventing either party from transferring their rights or obligations without the other's written permission, protecting both parties from having to deal with an unknown third party.",Neither party can transfer this agreement or any part of it to another company without first getting written permission from the other party.,
"All actions, cases, suits and proceedings in connection with this Agreement shall be brought in Maryland. All persons affected by this Agreement specifically consent to the personal jurisdiction of and venue in said courts. No action, case, suit or proceeding, regardless of form, arising out of or related to this Agreement, may be brought by either party more than one (1) year after the cause of action has arisen, or in the case of nonpayment, more than two (2) years from the date of the last payment. ALL ACTIONS, CASES, SUITS AND PROCEEDINGS SHALL BE HEARD WITHOUT A JURY. ALL PERSONS AFFECTED BY THIS AGREEMENT SPECIFICALLY WAIVE ALL RIGHT TO A TRIAL BY JURY AND SPECIFICALLY CONSENT TO THE PERSONAL JURISDICTION OF AND VENUE IN SAID COURTS.",High,"This clause contains several significant risks: it mandates Maryland courts (potentially inconvenient), shortens the statute of limitations (forfeiting rights if deadlines are missed), and explicitly waives the right to a jury trial, relinquishing a significant procedural right.","Any legal disputes related to this agreement must be handled in Maryland courts, and everyone involved agrees to this. Legal action must be started within one year of the issue arising, or within two years for payment problems. Importantly, all parties give up their right to a jury trial, meaning a judge will decide any case.",
"If suit or action is instituted to enforce any of the terms of this Agreement, then the prevailing party shall be entitled to recover from the other party such sums as the Court may adjudge reasonable as attorney's fees at trial on or appeal of such suit or action, in addition to all other sums provided by law.",Low,This is a standard 'prevailing party' attorney's fees clause. It incentivizes parties to resolve disputes without litigation and provides cost recovery for the party that wins in court.,"If a lawsuit is filed to enforce this agreement, the party who wins the case will be reimbursed by the losing party for reasonable attorney's fees, both during the trial and any appeals, in addition to any other legal awards.",
This Agreement shall be construed and governed in accordance with the laws of the State of Maryland regardless of the place or places of its physical execution and performance.,Low,"This is a standard governing law clause, clearly stating that Maryland law will apply to the interpretation and enforcement of the agreement, providing certainty and predictability.","This agreement will always be interpreted and controlled by the laws of the State of Maryland, no matter where it was signed or where the work is done.",
"This Agreement includes all Recitals, attachments, exhibits, schedules, the Software License Agreement, and contains the entire agreement of the parties. It may not be changed orally but only by agreement in writing signed by the party against whom enforcement of any amendment, waiver, change, modification, extension or discharge is sought.",Low,"This is a standard 'entire agreement' or 'integration' clause, stating that the document (including all referenced parts) constitutes the complete agreement and can only be modified in writing, preventing claims based on prior discussions or oral agreements.","This document, along with all its attached parts and the Software License Agreement, represents the full and complete understanding between the parties. It cannot be changed verbally; any modifications must be in writing and signed by the party against whom the change is being enforced.",
"IN WITNESS WHEREOF, LKPL and Axiometric have executed this Agreement below.",Informational,"This is a standard concluding statement in a contract, indicating that the parties are signing the agreement to confirm their acceptance of its terms.","By signing below, LKPL and Axiometric confirm they have formally agreed to this document.",
